Execution ID,Run ID,Run Correlative,Run Total,Scenario,Method,Helo ID,Task ID,Task Class,Start Node,Node,Start Time,Flight Time,Service Time,Total Task Time,Cycle Time Proxy,Completion Time,Benefit,Selection Score,Raw Impact,Normalized Impact,Remaining Load,Remaining Medical,Remaining Personnel,Status
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,1,12,medical,Base,B,28.0,10.0,6.0,16.0,,44.0,0.0506071223154972,,2.0,0.6666666666666666,400,1,2,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,3,2,personnel,B,C,35.0,4.79157423749955,6.0,10.79157423749955,,46.0,0.032423971438187066,,2.0,0.6666666666666666,150,1,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,1,10,personnel,B,B,44.0,0.0,6.0,6.0,,50.0,0.010036582226508085,,1.0,0.3333333333333333,200,1,1,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,4,3,medical,Base,C,32.0,11.858541225631424,6.0,17.858541225631424,,50.0,0.04162478254530294,,2.0,0.6666666666666666,200,1,1,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,2,Idle,return,D,Base,29.0,22.360679774997898,2.0,24.360679774997898,,54.0,0.0,,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,1,7,cargo,B,B,50.0,0.0,6.0,6.0,,56.0,0.0034303988655421955,,150.0,0.3,50,1,1,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,3,15,cargo,C,D,46.0,6.0609152673132645,6.0,12.060915267313264,,59.0,0.0008797598549041006,,100.0,0.2,50,1,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,4,16,cargo,C,D,50.0,5.303300858899107,6.0,11.303300858899107,,62.0,0.001540154756585555,,100.0,0.2,100,1,1,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,1,Idle,return,B,Base,56.0,10.0,2.0,12.0,,68.0,0.0,,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,2,4,medical,Base,C,54.0,15.811388300841896,6.0,21.811388300841898,,76.0,0.0002525015158796488,,1.0,0.3333333333333333,450,2,1,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,3,Idle,return,D,Base,59.0,19.1662969499982,2.0,21.1662969499982,,81.0,0.0,,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,4,Idle,return,D,Base,62.0,16.770509831248425,2.0,18.770509831248425,,81.0,0.0,,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,1,18,medical,Base,B,68.0,10.0,6.0,16.0,,84.0,0.0005651224991788747,,2.0,0.6666666666666666,100,1,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,2,Idle,return,C,Base,76.0,15.811388300841896,2.0,17.811388300841898,,94.0,0.0,,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-60s,1,Idle,return,B,Base,84.0,10.0,2.0,12.0,,96.0,0.0,,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,3,6,personnel,Base,A,0.0,4.79157423749955,6.0,10.79157423749955,,11.0,0.07086614173228346,,3.0,1.0,200,3,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,1,5,personnel,Base,B,0.0,10.0,6.0,16.0,,16.0,0.07086614173228346,,3.0,1.0,0,3,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,3,Idle,return,A,Base,11.0,4.79157423749955,2.0,6.79157423749955,,18.0,0.0,,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,4,1,medical,Base,C,0.0,11.858541225631424,6.0,17.858541225631424,,18.0,0.09448818897637795,,3.0,1.0,100,0,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,1,Idle,return,B,Base,16.0,10.0,2.0,12.0,,28.0,0.0,,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,2,9,medical,Base,D,0.0,22.360679774997898,6.0,28.360679774997898,,29.0,0.08640773738785999,,3.0,1.0,0,0,2,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,4,Idle,return,C,Base,18.0,11.858541225631424,2.0,13.858541225631424,,32.0,0.0,,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,3,8,medical,Base,B,18.0,10.714285714285714,6.0,16.714285714285715,,35.0,0.06299212598425197,,2.0,0.6666666666666666,300,1,2,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,1,12,medical,Base,B,28.0,10.0,6.0,16.0,,44.0,0.0506071223154972,,2.0,0.6666666666666666,400,1,2,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,3,2,personnel,B,C,35.0,4.79157423749955,6.0,10.79157423749955,,46.0,0.032423971438187066,,2.0,0.6666666666666666,150,1,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,1,10,personnel,B,B,44.0,0.0,6.0,6.0,,50.0,0.010036582226508085,,1.0,0.3333333333333333,200,1,1,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,4,3,medical,Base,C,32.0,11.858541225631424,6.0,17.858541225631424,,50.0,0.04162478254530294,,2.0,0.6666666666666666,200,1,1,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,2,Idle,return,D,Base,29.0,22.360679774997898,2.0,24.360679774997898,,54.0,0.0,,0.0,0.0,500,3,3,Return/Recovery
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,1,7,cargo,B,B,50.0,0.0,6.0,6.0,,56.0,0.0034303988655421955,,150.0,0.3,50,1,1,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,3,15,cargo,C,D,46.0,6.0609152673132645,6.0,12.060915267313264,,59.0,0.0008797598549041006,,100.0,0.2,50,1,0,Task Executed
20260808_003124-0400,20260808_003124-0400-0001,1,1,A4x4_T20_S1,HiGHS-600s,4,16,cargo,C,D,50.0,5.303300858899107,6.0,11.303300858899107,,62.0,0.001540154756585555,,100.0,0.2,100,1,1,Task Executed
